epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,10228.9,0.5888,0.90048,0.54381,0.89192,0.83565,0.73745,0.77827,0.60777,0.83028,0.72174,0.77235,0.60349,0.70034,1.08362,0.63196,1.10402,0.00116492,0.00116492,0.00116492
30,10572.5,0.57879,0.92759,0.54865,0.8915,0.84927,0.74512,0.77447,0.61935,0.83114,0.72636,0.7631,0.59449,0.69292,1.10373,0.6312,1.08145,0.00115549,0.00115549,0.00115549
31,10905,0.57383,0.88544,0.52942,0.90046,0.87294,0.71879,0.76308,0.61361,0.8948,0.71692,0.77522,0.60741,0.68782,1.11095,0.62402,1.07351,0.00114606,0.00114606,0.00114606
32,11233.5,0.56319,0.86406,0.51931,0.88935,0.85342,0.70632,0.76807,0.60262,0.86655,0.69312,0.77809,0.59188,0.71609,1.12151,0.63495,1.10891,0.00113663,0.00113663,0.00113663
33,11569.6,0.56187,0.85827,0.50953,0.88753,0.84705,0.74633,0.77185,0.60529,0.84668,0.75229,0.77759,0.59105,0.72686,1.13148,0.60754,1.09581,0.0011272,0.0011272,0.0011272
34,11892.1,0.54607,0.85132,0.49662,0.89105,0.86365,0.7303,0.75757,0.60607,0.85882,0.71533,0.75436,0.58094,0.69766,1.04221,0.62153,1.06988,0.00111776,0.00111776,0.00111776
35,12201.4,0.53673,0.83456,0.48539,0.87968,0.91757,0.69953,0.77232,0.61474,0.83549,0.72651,0.75621,0.58482,0.7031,1.12111,0.6483,1.09681,0.00110833,0.00110833,0.00110833
36,12523.2,0.54744,0.82859,0.48531,0.87912,0.85118,0.73066,0.77378,0.62029,0.85351,0.72106,0.77785,0.60987,0.68216,1.02758,0.60541,1.07925,0.0010989,0.0010989,0.0010989
37,12851.3,0.54475,0.81772,0.48287,0.87832,0.87437,0.71496,0.77175,0.60533,0.84518,0.71307,0.75418,0.59216,0.68913,1.01774,0.6252,1.06167,0.00108947,0.00108947,0.00108947
38,13187.2,0.53542,0.80629,0.47063,0.86328,0.91681,0.69735,0.7733,0.61408,0.9124,0.68837,0.75935,0.59937,0.68922,1.09559,0.59481,1.07344,0.00108004,0.00108004,0.00108004
39,13524.5,0.52459,0.82484,0.47032,0.86838,0.88426,0.74123,0.77887,0.62275,0.85906,0.71853,0.75485,0.58828,0.6909,1.06124,0.61461,1.06698,0.00107061,0.00107061,0.00107061
40,13859.6,0.51987,0.8278,0.45781,0.86207,0.81846,0.72045,0.76604,0.61056,0.80567,0.71734,0.74468,0.59257,0.71548,1.10692,0.63156,1.09812,0.00106118,0.00106118,0.00106118
41,14183.5,0.53808,0.79134,0.46026,0.86868,0.87643,0.69918,0.76477,0.60866,0.87748,0.69347,0.75779,0.59418,0.71203,1.1908,0.61765,1.09942,0.00105174,0.00105174,0.00105174
42,14505.7,0.51897,0.82066,0.4576,0.86454,0.79977,0.72935,0.74573,0.59973,0.80207,0.73292,0.75,0.56442,0.70654,1.22284,0.60573,1.0992,0.00104231,0.00104231,0.00104231
43,14825.4,0.52294,0.8167,0.45646,0.8582,0.81324,0.72615,0.75845,0.60497,0.82531,0.73066,0.77518,0.58442,0.7164,1.12275,0.60905,1.10621,0.00103288,0.00103288,0.00103288
44,15140.5,0.52743,0.80478,0.45003,0.87184,0.88329,0.68374,0.75959,0.60448,0.87849,0.67198,0.74663,0.57484,0.69744,1.19702,0.61951,1.0903,0.00102345,0.00102345,0.00102345
45,15485.9,0.51594,0.79895,0.4431,0.8691,0.87019,0.70192,0.77288,0.61848,0.86865,0.6995,0.7695,0.60455,0.69551,1.02131,0.59877,1.08845,0.00101402,0.00101402,0.00101402
46,15840.9,0.51497,0.77859,0.44034,0.86667,0.85915,0.71933,0.78125,0.61247,0.91309,0.70309,0.77747,0.59834,0.68817,0.9796,0.60235,1.08109,0.00100459,0.00100459,0.00100459
47,16196.1,0.50684,0.78522,0.43462,0.85577,0.80661,0.73707,0.77246,0.61983,0.79916,0.73172,0.76764,0.60814,0.66854,1.02275,0.58046,1.06607,0.000995156,0.000995156,0.000995156
48,16553.2,0.49634,0.77492,0.43353,0.861,0.83171,0.71843,0.77873,0.62502,0.81811,0.71293,0.76819,0.61513,0.671,1.09097,0.57269,1.07607,0.000985724,0.000985724,0.000985724
49,16909,0.49763,0.78685,0.42567,0.86362,0.83569,0.72279,0.77336,0.6227,0.81565,0.71822,0.77364,0.60386,0.69944,1.06041,0.58045,1.08271,0.000976293,0.000976293,0.000976293
50,17249.9,0.49363,0.7463,0.41836,0.8552,0.8515,0.72483,0.77238,0.62378,0.79904,0.72656,0.75779,0.60011,0.66608,1.10082,0.56749,1.0599,0.000966861,0.000966861,0.000966861
51,17615.3,0.49162,0.76982,0.4162,0.85259,0.87035,0.70429,0.76918,0.62275,0.86174,0.69347,0.75845,0.6022,0.67522,1.07918,0.55067,1.06258,0.00095743,0.00095743,0.00095743
52,17965.3,0.48139,0.71127,0.40214,0.84934,0.88791,0.69882,0.75955,0.6136,0.89031,0.69347,0.75681,0.59308,0.68557,1.11523,0.56823,1.07494,0.000947999,0.000947999,0.000947999
53,18320.1,0.48864,0.73397,0.41335,0.85162,0.89989,0.70873,0.77602,0.62393,0.86303,0.68385,0.75275,0.60001,0.66125,1.04738,0.55045,1.05655,0.000938567,0.000938567,0.000938567
54,18676.1,0.48381,0.70802,0.40048,0.8518,0.86006,0.70429,0.75758,0.61173,0.83685,0.68807,0.74525,0.58455,0.70646,1.10371,0.6279,1.10072,0.000929136,0.000929136,0.000929136
55,19025.5,0.47119,0.69067,0.40187,0.8464,0.83953,0.7247,0.77268,0.62007,0.8868,0.68926,0.75018,0.6052,0.67921,1.05189,0.58381,1.07239,0.000919704,0.000919704,0.000919704
56,19370.4,0.48547,0.72258,0.40416,0.84842,0.87599,0.71107,0.777,0.6218,0.86412,0.70025,0.76359,0.59776,0.67066,1.13178,0.55079,1.06994,0.000910273,0.000910273,0.000910273
57,19717.6,0.47523,0.72915,0.3962,0.84074,0.86411,0.71121,0.76992,0.60374,0.87087,0.69906,0.75926,0.58507,0.71277,1.06416,0.59366,1.1026,0.000900842,0.000900842,0.000900842
58,20078.8,0.45864,0.72044,0.37966,0.84262,0.87447,0.73897,0.78808,0.62107,0.88634,0.70309,0.77098,0.60583,0.67619,1.10571,0.55089,1.06788,0.00089141,0.00089141,0.00089141
59,20434.1,0.46041,0.71647,0.37305,0.84384,0.84782,0.72804,0.77294,0.62268,0.85277,0.724,0.76713,0.58957,0.66482,1.02308,0.54238,1.06897,0.000881979,0.000881979,0.000881979
60,20786.2,0.46679,0.70066,0.3778,0.84467,0.82368,0.74989,0.78835,0.63357,0.83754,0.71438,0.77126,0.60205,0.66166,1.11807,0.55558,1.06373,0.000872547,0.000872547,0.000872547
61,21137.6,0.45339,0.68083,0.37827,0.83722,0.86037,0.71861,0.78312,0.63104,0.87697,0.71342,0.76848,0.60046,0.69723,1.14231,0.56611,1.08203,0.000863116,0.000863116,0.000863116
62,21487.8,0.47415,0.70146,0.38474,0.84264,0.90562,0.72709,0.79136,0.63963,0.86159,0.724,0.78597,0.62146,0.69647,1.07457,0.55449,1.08232,0.000853685,0.000853685,0.000853685
63,21831.2,0.45588,0.68122,0.37783,0.84615,0.9182,0.7231,0.79687,0.6372,0.90481,0.70618,0.77613,0.60128,0.67315,1.10325,0.55206,1.07322,0.000844253,0.000844253,0.000844253
64,22190.9,0.44611,0.67852,0.36977,0.84156,0.8636,0.7252,0.78653,0.6397,0.91117,0.70272,0.78591,0.62083,0.64907,1.04247,0.53364,1.06342,0.000834822,0.000834822,0.000834822
65,22549.1,0.44361,0.67835,0.371,0.83965,0.87357,0.7335,0.77737,0.63104,0.84736,0.71081,0.75748,0.59591,0.64187,1.07844,0.52268,1.05276,0.00082539,0.00082539,0.00082539
66,22908.3,0.44503,0.67218,0.365,0.83651,0.88659,0.70975,0.77812,0.62632,0.90654,0.71974,0.78576,0.61212,0.64159,1.08363,0.52965,1.05457,0.000815959,0.000815959,0.000815959
67,23266.2,0.45358,0.69334,0.37063,0.84215,0.80903,0.7531,0.77517,0.6271,0.87598,0.71444,0.77499,0.61328,0.65523,1.01877,0.54891,1.06025,0.000806528,0.000806528,0.000806528
68,23624.4,0.44384,0.67781,0.36601,0.83413,0.87163,0.75849,0.79634,0.62605,0.84372,0.73449,0.76635,0.60225,0.6571,1.06252,0.53755,1.07514,0.000797096,0.000797096,0.000797096
69,23977,0.43287,0.66375,0.35978,0.83447,0.87447,0.75441,0.79573,0.64019,0.85584,0.74291,0.78063,0.61681,0.6508,1.13746,0.5256,1.06551,0.000787665,0.000787665,0.000787665
70,24340,0.4273,0.64554,0.35341,0.8323,0.85775,0.74348,0.77784,0.63143,0.84386,0.72852,0.77052,0.60285,0.63251,1.03101,0.51519,1.05641,0.000778233,0.000778233,0.000778233
71,24694.2,0.42663,0.66567,0.35609,0.83237,0.86819,0.75394,0.77864,0.62951,0.87861,0.7448,0.77682,0.6106,0.64145,1.05298,0.51349,1.06166,0.000768802,0.000768802,0.000768802
72,25048.1,0.43175,0.64982,0.3529,0.83625,0.85775,0.73482,0.78715,0.63199,0.86511,0.73933,0.78513,0.61275,0.65283,1.15655,0.53246,1.07473,0.000759371,0.000759371,0.000759371
73,25405.1,0.41081,0.63951,0.34352,0.83305,0.8571,0.75441,0.76844,0.62899,0.84848,0.73643,0.75332,0.60906,0.64095,1.16881,0.54343,1.05713,0.000749939,0.000749939,0.000749939
74,25756.3,0.42154,0.63224,0.33745,0.8285,0.85129,0.76262,0.78282,0.63207,0.87109,0.72746,0.76329,0.61117,0.6441,1.06577,0.52062,1.0766,0.000740508,0.000740508,0.000740508
75,26096,0.41451,0.64248,0.33505,0.83291,0.87655,0.73576,0.76601,0.62968,0.86197,0.72972,0.74864,0.5973,0.64195,1.09293,0.52768,1.0839,0.000731076,0.000731076,0.000731076
